GEO_ID,NAME,VAL,TON,val_norm,ton_norm,vulnerability_score,rank,is_metro,INTPTLAT,INTPTLON,nearest_port,nearest_port_type,nearest_port_miles,nearest_seaport,nearest_seaport_miles,min_distance_to_neighbor_miles,num_commodities,max_comm_val,dominant_commodity,val_ton_ratio
E330000US2699999999,"Remainder of Michigan, Michigan",1100176,1033337,0.1367949604272705,0.279238129778214,0.1938,23,0,44.3467,-85.4102,Chicago Intermodal Hub,rail_intermodal,204.01,Port of Baltimore,574.15,0.0,281,164988,All Commodities,1.1105
E330000US5499999999,"Remainder of West Virginia, West Virginia",436544,1455814,0.0533329795131845,0.3939239535943679,0.1896,24,0,38.4912,-80.9545,Port of Baltimore,seaport,241.36,Port of Baltimore,241.36,144.07,254,71171,All Commodities,0.3014
E330000US1299999999,"Remainder of Florida, Florida",867980,1040592,0.107592724669611,0.2812075758114565,0.177,25,0,28.6305,-82.4497,Port of Tampa,seaport,48.26,Port of Tampa,48.26,46.98,291,122833,All Commodities,0.8842
E330000US3799999999,"Remainder of North Carolina, North Carolina",1250149,737128,0.1556563831188047,0.1988290822164316,0.1729,26,0,35.5557,-79.3877,Port of Charleston,seaport,194.27,Port of Charleston,194.27,0.0,283,204808,All Commodities,1.7512
E330000US0199999999,"Remainder of Alabama, Alabama",1200745,744686,0.1494430665441375,0.2008807807855904,0.17,27,0,32.799,-86.8073,Atlanta Intermodal Hub,rail_intermodal,154.4,Port of New Orleans,274.71,0.0,292,194576,All Commodities,1.6686
E330000US3919800000,"Columbus-Marion-Zanesville, OH CFS Area; Ohio",1429094,573233,0.1781614825936207,0.154338061180142,0.1686,28,1,39.9612,-82.9988,Chicago Intermodal Hub,rail_intermodal,275.63,Port of Baltimore,345.08,31.88,284,218083,All Commodities,2.5056
E330000US3918400000,"Cleveland-Akron-Canton, OH CFS Area; Ohio",1230480,661308,0.153182702370138,0.1782469460013459,0.1632,29,1,41.4993,-81.6944,Chicago Intermodal Hub,rail_intermodal,307.31,Port of Baltimore,310.38,90.18,310,209544,All Commodities,1.9277
E330000US5199999999,"Remainder of Virginia, Virginia",858882,893992,0.1064485105534195,0.2414114643747436,0.1604,30,0,37.7693,-78.17,Port of Norfolk/Virginia,seaport,116.56,Port of Norfolk/Virginia,116.56,0.0,302,136315,All Commodities,0.9764
E330000US1237000000,"Miami-Port St. Lucie-Fort Lauderdale, FL CFS Area; Florida",1238106,629854,0.1541417897355014,0.1697084269759,0.1604,31,1,25.7617,-80.1918,Port of Miami,seaport,1.6,Port of Miami,1.6,205.26,260,176538,All Commodities,2.0395
E330000US2099999999,"Remainder of Kansas, Kansas",751255,957526,0.0929127518500412,0.2586584367077594,0.1592,32,0,38.5266,-96.7265,Kansas City Intermodal Hub,rail_intermodal,122.23,Port of Beaumont,602.07,0.0,247,120277,All Commodities,0.7958
E330000US0599999999,"Remainder of Arkansas, Arkansas",998494,742597,0.1240068773581809,0.200313699770643,0.1545,33,0,34.8938,-92.4426,Memphis Intermodal Hub,rail_intermodal,136.58,Port of Beaumont,346.61,136.58,299,166275,All Commodities,1.3607
E330000US1399999999,"Remainder of Georgia, Georgia",877230,823329,0.1087560551350727,0.2222292500333217,0.1541,34,0,32.6415,-83.4426,Atlanta Intermodal Hub,rail_intermodal,94.04,Port of Savannah,143.22,0.0,281,132883,All Commodities,1.0928
E330000US2999999999,"Remainder of Missouri, Missouri",805837,871823,0.0997772819544555,0.2353934562271277,0.154,35,0,38.3566,-92.458,St. Louis Intermodal Hub,rail_intermodal,123.56,Port of Beaumont,579.6,123.56,286,127483,All Commodities,0.9646
E330000US2899999999,"Remainder of Mississippi, Mississippi",1021139,711886,0.1268548361030869,0.1919768759075264,0.1529,36,0,32.7364,-89.6678,Memphis Intermodal Hub,rail_intermodal,168.16,Port of New Orleans,193.53,166.24,294,153310,All Commodities,1.4708
E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",619526,982595,0.0763457941327648,0.2654636803476431,0.152,37,1,30.4515,-91.1871,Port of New Orleans,seaport,75.34,Port of New Orleans,75.34,64.27,237,113417,All Commodities,0.632
E330000US3199999999,"Remainder of Nebraska, Nebraska",628362,928305,0.0774570576995561,0.2507260890113598,0.1468,38,0,41.5378,-99.7951,Kansas City Intermodal Hub,rail_intermodal,322.24,Port of Beaumont,852.49,191.69,264,99873,All Commodities,0.6934
E330000US1999999999,"Remainder of Iowa, Iowa",779687,823106,0.0964885152872313,0.2221687143385715,0.1468,39,0,42.0046,-93.214,Kansas City Intermodal Hub,rail_intermodal,213.1,Port of Beaumont,825.38,0.0,220,211233,All Commodities,0.9564
E330000US0699999999,"Remainder of California, California",957503,688475,0.1188516255625331,0.1856217138008082,0.1456,40,0,37.1841,-119.4696,Port of Oakland,seaport,159.8,Port of Oakland,159.8,0.0,289,148330,All Commodities,1.4091
E330000US1829400000,"Indianapolis-Carmel-Muncie, IN CFS Area; Indiana",1102121,584607,0.1370395742386568,0.1574256530729194,0.1452,41,1,39.7684,-86.1581,Chicago Intermodal Hub,rail_intermodal,164.82,Port of Baltimore,511.6,8.59,274,175471,All Commodities,1.8984
E330000US4243000000,"Pittsburgh-New Castle-Weirton, PA-OH-WV CFS Area (part); Pennsylvania",979372,655077,0.1216019903137961,0.1765554755350283,0.1436,42,1,40.4406,-79.9959,Port of Baltimore,seaport,198.7,Port of Baltimore,198.7,114.9,255,167194,All Commodities,1.5703
E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Missouri",802205,758729,0.0993205018192601,0.2046929007917688,0.1415,43,1,38.627,-90.1994,St. Louis Intermodal Hub,rail_intermodal,0.0,Port of New Orleans,599.18,0.0,293,126748,All Commodities,1.0666
E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",1106517,500150,0.1375924391820265,0.1344989123934483,0.1364,44,1,39.9526,-75.1652,Port of Philadelphia,seaport,2.37,Port of Philadelphia,2.37,0.0,287,164263,All Commodities,2.2298
E330000US0442900000,"Phoenix-Mesa, AZ CFS Area; Arizona",1291187,340474,0.1608175458908715,0.0911531832681511,0.133,45,1,33.4484,-112.074,Port of Long Beach,seaport,353.74,Port of Long Beach,353.74,63.63,303,214650,All Commodities,3.8194
E330000US4799999999,"Remainder of Tennessee, Tennessee",907962,600798,0.1126210791204316,0.1618208702644052,0.1323,46,0,35.7478,-86.6923,Atlanta Intermodal Hub,rail_intermodal,190.22,Port of Savannah,409.81,0.0,288,134455,All Commodities,1.5726
E330000US4144000000,"Portland-Vancouver-Salem, OR-WA CFS Area (part); Oregon",1121691,414099,0.1395008042072066,0.1111394636537445,0.1282,47,1,45.5231,-122.6765,Port of Portland,seaport,4.53,Port of Portland,4.53,0.0,287,221225,All Commodities,2.723
E330000US3899999999,"Remainder of North Dakota, North Dakota",350729,948239,0.0425404169300928,0.2561373829089003,0.128,48,0,47.5515,-101.002,Kansas City Intermodal Hub,rail_intermodal,666.72,Port of Seattle,991.38,236.89,271,61206,All Commodities,0.3828
E330000US4899912420,"Austin-Round Rock-Georgetown, TX CFS Area; Texas",670563,697895,0.0827644856966318,0.1881788718481059,0.1249,49,1,30.2672,-97.7431,Port of Houston,seaport,151.93,Port of Houston,151.93,55.44,226,105780,All Commodities,1.1018
