GEO_ID,NAME,VAL,TON,val_norm,ton_norm,vulnerability_score,rank,is_metro,INTPTLAT,INTPTLON,nearest_port,nearest_port_type,nearest_port_miles,nearest_seaport,nearest_seaport_miles,min_distance_to_neighbor_miles,num_commodities,max_comm_val,dominant_commodity,val_ton_ratio
E330000US2699999999,"Remainder of Michigan, Michigan",1100176,1033337,0.1367949604272705,0.279238129778214,0.1938,23,0,45.5355685,-87.5014573,Chicago Intermodal Hub,rail_intermodal,252.79,Port of Baltimore,704.93,182.74,281,164988,All Commodities,1.1105
E330000US5499999999,"Remainder of West Virginia, West Virginia",436544,1455814,0.0533329795131845,0.3939239535943679,0.1896,24,0,38.332606,-80.0101207,Port of Baltimore,seaport,195.68,Port of Baltimore,195.68,72.4,254,71171,All Commodities,0.3014
E330000US1299999999,"Remainder of Florida, Florida",867980,1040592,0.107592724669611,0.2812075758114565,0.177,25,0,30.0913354,-84.3591114,Port of Jacksonville,seaport,167.91,Port of Jacksonville,167.91,153.12,291,122833,All Commodities,0.8842
E330000US3799999999,"Remainder of North Carolina, North Carolina",1250149,737128,0.1556563831188047,0.1988290822164316,0.1729,26,0,34.6392096,-79.1008811,Port of Charleston,seaport,137.14,Port of Charleston,137.14,74.13,283,204808,All Commodities,1.7512
E330000US0199999999,"Remainder of Alabama, Alabama",1200745,744686,0.1494430665441375,0.2008807807855904,0.17,27,0,33.2703999,-85.8635254,Atlanta Intermodal Hub,rail_intermodal,91.21,Port of Savannah,290.07,63.41,292,194576,All Commodities,1.6686
E330000US3919800000,"Columbus-Marion-Zanesville, OH CFS Area; Ohio",1429094,573233,0.1781614825936207,0.154338061180142,0.1686,28,1,39.5552462,-83.4618927,Chicago Intermodal Hub,rail_intermodal,270.87,Port of Baltimore,367.96,43.07,284,218083,All Commodities,2.5056
E330000US3918400000,"Cleveland-Akron-Canton, OH CFS Area; Ohio",1230480,661308,0.153182702370138,0.1782469460013459,0.1632,29,1,41.7781416,-81.1973297,Port of Baltimore,seaport,298.35,Port of Baltimore,298.35,87.46,310,209544,All Commodities,1.9277
E330000US5199999999,"Remainder of Virginia, Virginia",858882,893992,0.1064485105534195,0.2414114643747436,0.1604,30,0,37.2853329,-80.0552407,Port of Norfolk/Virginia,seaport,207.17,Port of Norfolk/Virginia,207.17,72.4,302,136315,All Commodities,0.9764
E330000US1237000000,"Miami-Port St. Lucie-Fort Lauderdale, FL CFS Area; Florida",1238106,629854,0.1541417897355014,0.1697084269759,0.1604,31,1,26.1935353,-80.4766834,Port of Miami,seaport,34.69,Port of Miami,34.69,202.29,260,176538,All Commodities,2.0395
E330000US2099999999,"Remainder of Kansas, Kansas",751255,957526,0.0929127518500412,0.2586584367077594,0.1592,32,0,37.8793472,-96.2417321,Kansas City Intermodal Hub,rail_intermodal,123.28,Port of Beaumont,552.26,55.22,247,120277,All Commodities,0.7958
E330000US0599999999,"Remainder of Arkansas, Arkansas",998494,742597,0.1240068773581809,0.200313699770643,0.1545,33,0,35.8570011,-92.1404819,Memphis Intermodal Hub,rail_intermodal,127.39,Port of Beaumont,415.24,134.57,299,166275,All Commodities,1.3607
E330000US1399999999,"Remainder of Georgia, Georgia",877230,823329,0.1087560551350727,0.2222292500333217,0.1541,34,0,33.4806126,-82.4795333,Atlanta Intermodal Hub,rail_intermodal,111.37,Port of Savannah,126.86,50.83,281,132883,All Commodities,1.0928
E330000US2999999999,"Remainder of Missouri, Missouri",805837,871823,0.0997772819544555,0.2353934562271277,0.154,35,0,38.3864909,-93.7926278,Kansas City Intermodal Hub,rail_intermodal,64.98,Port of Beaumont,574.14,24.55,286,127483,All Commodities,0.9646
E330000US2899999999,"Remainder of Mississippi, Mississippi",1021139,711886,0.1268548361030869,0.1919768759075264,0.1529,36,0,32.0167482,-89.1191761,Port of New Orleans,seaport,152.98,Port of New Orleans,152.98,106.94,294,153310,All Commodities,1.4708
E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",619526,982595,0.0763457941327648,0.2654636803476431,0.152,37,1,30.8397837,-91.0434338,Port of New Orleans,seaport,84.51,Port of New Orleans,84.51,40.73,237,113417,All Commodities,0.632
E330000US3199999999,"Remainder of Nebraska, Nebraska",628362,928305,0.0774570576995561,0.2507260890113598,0.1468,38,0,41.9158651,-96.7885168,Kansas City Intermodal Hub,rail_intermodal,226.56,Port of Beaumont,831.04,77.19,264,99873,All Commodities,0.6934
E330000US1999999999,"Remainder of Iowa, Iowa",779687,823106,0.0964885152872313,0.2221687143385715,0.1468,39,0,40.7363787,-93.7845799,Kansas City Intermodal Hub,rail_intermodal,120.66,Port of Beaumont,736.44,42.78,220,211233,All Commodities,0.9564
E330000US0699999999,"Remainder of California, California",957503,688475,0.1188516255625331,0.1856217138008082,0.1456,40,0,39.5769252,-120.5219926,Port of Oakland,seaport,155.39,Port of Oakland,155.39,89.5,289,148330,All Commodities,1.4091
E330000US1829400000,"Indianapolis-Carmel-Muncie, IN CFS Area; Indiana",1102121,584607,0.1370395742386568,0.1574256530729194,0.1452,41,1,40.0535128,-86.021709,Chicago Intermodal Hub,rail_intermodal,151.43,Port of Baltimore,505.06,88.07,274,175471,All Commodities,1.8984
E330000US4243000000,"Pittsburgh-New Castle-Weirton, PA-OH-WV CFS Area (part); Pennsylvania",979372,655077,0.1216019903137961,0.1765554755350283,0.1436,42,1,40.6841401,-80.3507209,Port of Baltimore,seaport,222.56,Port of Baltimore,222.56,81.04,255,167194,All Commodities,1.5703
E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Missouri",802205,758729,0.0993205018192601,0.2046929007917688,0.1415,43,1,38.4130031,-91.072832,St. Louis Intermodal Hub,rail_intermodal,49.48,Port of New Orleans,587.17,94.14,293,126748,All Commodities,1.0666
E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",1106517,500150,0.1375924391820265,0.1344989123934483,0.1364,44,1,40.0093755,-75.1333459,Port of Philadelphia,seaport,5.87,Port of Philadelphia,5.87,16.96,287,164263,All Commodities,2.2298
E330000US0442900000,"Phoenix-Mesa, AZ CFS Area; Arizona",1291187,340474,0.1608175458908715,0.0911531832681511,0.133,45,1,32.9185207,-111.3663394,Port of Long Beach,seaport,399.21,Port of Long Beach,399.21,59.78,303,214650,All Commodities,3.8194
E330000US4799999999,"Remainder of Tennessee, Tennessee",907962,600798,0.1126210791204316,0.1618208702644052,0.1323,46,0,35.163472,-85.2018432,Atlanta Intermodal Hub,rail_intermodal,108.17,Port of Savannah,319.11,74.42,288,134455,All Commodities,1.5726
E330000US4144000000,"Portland-Vancouver-Salem, OR-WA CFS Area (part); Oregon",1121691,414099,0.1395008042072066,0.1111394636537445,0.1282,47,1,45.1604934,-122.1951274,Port of Portland,seaport,38.48,Port of Portland,38.48,75.31,287,221225,All Commodities,2.723
E330000US3899999999,"Remainder of North Dakota, North Dakota",350729,948239,0.0425404169300928,0.2561373829089003,0.128,48,0,48.3769789,-97.7222304,Kansas City Intermodal Hub,rail_intermodal,659.77,Port of Seattle,1134.68,255.91,271,61206,All Commodities,0.3828
E330000US4899912420,"Austin-Round Rock-Georgetown, TX CFS Area; Texas",670563,697895,0.0827644856966318,0.1881788718481059,0.1249,49,1,29.8323986,-97.628141,Port of Corpus Christi,seaport,140.14,Port of Corpus Christi,140.14,97.29,226,105780,All Commodities,1.1018
E330000US4948200000,"Salt Lake City-Provo-Orem, UT CFS Area; Utah",946823,504209,0.1175084504953838,0.1356007706221087,0.1247,50,1,41.0375594,-112.2019434,Port of Oakland,seaport,582.31,Port of Oakland,582.31,64.43,286,209881,All Commodities,1.978
