NAME,GEO_ID,COMM,COMM_LABEL,VAL,TON,us
United States,0100000US,09,Tobacco products,2043,79,1
United States,0100000US,09,Tobacco products,5513,152,1
United States,0100000US,090,Tobacco products,2043,79,1
United States,0100000US,090,Tobacco products,5513,152,1
United States,0100000US,11,Natural sands,0,460,1
United States,0100000US,11,Natural sands,0,0,1
United States,0100000US,110,Natural sands (excludes metal-bearing),0,460,1
United States,0100000US,110,Natural sands (excludes metal-bearing),0,0,1
United States,0100000US,12,Gravel and crushed stone (excludes dolomite and slate),1,0,1
United States,0100000US,12,Gravel and crushed stone (excludes dolomite and slate),0,0,1
United States,0100000US,120,Gravel and crushed stone (excludes dolomite and slate),1,0,1
United States,0100000US,120,Gravel and crushed stone (excludes dolomite and slate),0,0,1
United States,0100000US,13,"Other non-metallic minerals, not elsewhere classified",47,1242,1
United States,0100000US,13,"Other non-metallic minerals, not elsewhere classified",0,15,1
United States,0100000US,131,Salt,0,9,1
United States,0100000US,131,Salt,0,15,1
United States,0100000US,139,"Other non-metallic minerals, not elsewhere classified",37,1234,1
United States,0100000US,14,Metallic ores and concentrates,423,0,1
United States,0100000US,149,Metallic ores and concentrates (excludes iron),423,0,1
United States,0100000US,17,Gasoline and aviation turbine fuel,4648,9282,1
United States,0100000US,17,Gasoline and aviation turbine fuel,17396,20304,1
United States,0100000US,171,Gasoline,0,8,1
United States,0100000US,171,Gasoline,12007,12510,1
United States,0100000US,172,Aviation turbine fuel (types A and B),1155,2541,1
United States,0100000US,172,Aviation turbine fuel (types A and B),435,469,1
United States,0100000US,175,"Ethanol, ethanol blends of more than 10 percent ethanol, and other fuel alcohols",1797,3450,1
United States,0100000US,175,"Ethanol, ethanol blends of more than 10 percent ethanol, and other fuel alcohols",0,0,1
United States,0100000US,176,"Ethanol, for use as biofuels",1678,3283,1
United States,0100000US,176,"Ethanol, for use as biofuels",4798,7002,1
United States,0100000US,18,Fuel oils,7104,12177,1
United States,0100000US,18,Fuel oils,22741,27511,1
United States,0100000US,181,Fuel oils,0,0,1
United States,0100000US,181,Fuel oils,18390,20654,1
United States,0100000US,182,"Blends of fuel oils and biofuel, biodiesel",4399,6346,1
United States,0100000US,182,"Blends of fuel oils and biofuel, biodiesel",4351,6857,1
United States,0100000US,19,"Other coal and petroleum products, not elsewhere classified",29008,113232,1
United States,0100000US,19,"Other coal and petroleum products, not elsewhere classified",29473,64359,1
United States,0100000US,191,Lubricating oils and greases,499,332,1
United States,0100000US,191,Lubricating oils and greases,3589,10317,1
United States,0100000US,192,"Refined petroleum oils and oils obtained from bituminous minerals, not elsewhere classified",701,1517,1
United States,0100000US,192,"Refined petroleum oils and oils obtained from bituminous minerals, not elsewhere classified",1162,1391,1
United States,0100000US,193,Gaseous hydrocarbons,2077,3774,1
United States,0100000US,193,Gaseous hydrocarbons,8566,11825,1
United States,0100000US,199,"Other products of petroleum refining, and coal products, not elsewhere classified",25731,107608,1
United States,0100000US,199,"Other products of petroleum refining, and coal products, not elsewhere classified",16156,40826,1
United States,0100000US,20,Basic chemicals,30724,84894,1
United States,0100000US,20,Basic chemicals,24196,63951,1
United States,0100000US,201,Sodium hydroxide (caustic soda) and potassium hydroxide (caustic potash),629,1387,1
United States,0100000US,201,Sodium hydroxide (caustic soda) and potassium hydroxide (caustic potash),227,526,1
United States,0100000US,202,"Inorganic chemicals, not elsewhere classified",10657,71322,1
United States,0100000US,202,"Inorganic chemicals, not elsewhere classified",13193,57290,1
United States,0100000US,203,Cyclic hydrocarbons,3202,3612,1
United States,0100000US,203,Cyclic hydrocarbons,0,0,1
United States,0100000US,204,"Phenols, phenol-alcohols, aldehydes, cyclic polymers of aldehydes, and acyclic alcohols, and organic acids",3696,2906,1
United States,0100000US,204,"Phenols, phenol-alcohols, aldehydes, cyclic polymers of aldehydes, and acyclic alcohols, and organic acids",467,167,1
United States,0100000US,205,"Organic chemicals, not elsewhere classified",12540,5667,1
United States,0100000US,205,"Organic chemicals, not elsewhere classified",9766,4108,1
United States,0100000US,21,Pharmaceutical products,425602,3974,1
United States,0100000US,21,Pharmaceutical products,416794,3819,1
United States,0100000US,210,Pharmaceutical products,425602,3974,1
United States,0100000US,210,Pharmaceutical products,416794,3819,1
United States,0100000US,22,Fertilizers,6292,23939,1
United States,0100000US,22,Fertilizers,16192,30255,1
United States,0100000US,220,Fertilizers and fertilizer materials,6292,23939,1
United States,0100000US,220,Fertilizers and fertilizer materials,16192,30255,1
United States,0100000US,23,"Other chemical products and preparations, not elsewhere classified",32366,10626,1
United States,0100000US,23,"Other chemical products and preparations, not elsewhere classified",28582,0,1
United States,0100000US,231,"Paints and varnishes, enamels, tanning or dyeing extracts, tannins and their derivatives, inks, lakes, toners, and ink",9061,2415,1
